parcode,trial,fix_item,fix_time
mar,184,0,80.000000
mar,184,2,160.000000
mar,184,0,326.000000
mar,184,1,34.000000
mar,185,3,694.000000
mar,185,0,56.000000
mar,185,1,240.000000
mar,185,0,84.000000
mar,185,2,106.000000
mar,185,0,302.000000
mar,186,3,684.000000
mar,186,0,58.000000
mar,186,1,314.000000
mar,186,0,80.000000
mar,186,2,98.000000
mar,186,0,316.000000
mar,187,3,698.000000
mar,187,0,54.000000
mar,187,1,290.000000
mar,187,0,80.000000
mar,187,2,152.000000
mar,187,0,472.000000
mar,187,1,506.000000
mar,187,0,116.000000
mar,187,2,100.000000
mar,188,3,490.000000
mar,188,0,50.000000
mar,188,1,988.000000
mar,189,3,668.000000
mar,189,0,48.000000
mar,189,1,244.000000
mar,189,0,78.000000
mar,189,2,104.000000
mar,189,0,898.000000
mar,189,1,722.000000
mar,190,3,694.000000
mar,190,0,50.000000
mar,190,1,310.000000
mar,190,0,716.000000
mar,191,3,476.000000
mar,191,0,54.000000
mar,191,1,318.000000
mar,191,0,84.000000
mar,191,2,128.000000
mar,191,0,364.000000
mar,192,3,658.000000
mar,192,0,56.000000
mar,192,1,394.000000
mar,192,0,352.000000
mar,193,3,690.000000
mar,193,0,52.000000
mar,193,1,330.000000
mar,193,0,80.000000
mar,193,2,142.000000
mar,193,0,378.000000
mar,194,3,666.000000
mar,194,0,52.000000
mar,194,1,1042.000000
mar,195,3,506.000000
mar,195,0,52.000000
mar,195,1,264.000000
mar,195,0,88.000000
mar,195,2,140.000000
mar,195,0,458.000000
mar,196,3,474.000000
mar,196,0,52.000000
mar,196,1,256.000000
mar,196,0,96.000000
mar,196,2,102.000000
mar,196,0,414.000000
mar,197,3,508.000000
mar,197,0,56.000000
mar,197,1,238.000000
mar,197,0,84.000000
mar,197,2,486.000000
mar,198,3,706.000000
mar,198,0,418.000000
mar,198,2,108.000000
mar,198,0,462.000000
mar,199,3,510.000000
mar,199,0,50.000000
mar,199,1,266.000000
mar,199,0,518.000000
mar,200,3,744.000000
mar,200,0,52.000000
mar,200,2,108.000000
mar,200,0,434.000000
mar,200,1,450.000000
mar,201,3,700.000000
mar,201,0,376.000000
mar,201,2,98.000000
mar,201,0,538.000000
mar,202,3,654.000000
mar,202,0,54.000000
mar,202,1,300.000000
mar,202,0,82.000000
mar,202,2,138.000000
mar,202,0,446.000000
mar,202,1,118.000000
mar,203,3,770.000000
mar,203,0,52.000000
mar,203,1,252.000000
mar,203,0,394.000000
mar,204,3,700.000000
mar,204,0,54.000000
mar,204,1,272.000000
mar,204,0,676.000000
mar,205,3,786.000000
mar,205,0,206.000000
mar,205,1,184.000000
mar,205,0,708.000000
mar,206,0,1056.000000
mar,206,1,298.000000
mar,206,0,460.000000
mar,206,2,72.000000
mar,206,0,278.000000
mar,207,3,638.000000
mar,207,0,208.000000
mar,207,1,118.000000
mar,207,0,550.000000
mar,208,3,672.000000
mar,208,0,48.000000
mar,208,1,404.000000
mar,208,0,644.000000
mar,209,3,688.000000
mar,209,0,50.000000
mar,209,1,180.000000
mar,209,0,280.000000
mar,209,2,250.000000
mar,209,0,570.000000
mar,210,0,1032.000000
mar,210,2,196.000000
mar,210,0,312.000000
mar,211,3,666.000000
mar,211,0,58.000000
mar,211,1,334.000000
mar,211,0,516.000000
mar,212,3,480.000000
mar,212,0,50.000000
mar,212,1,210.000000
mar,212,0,774.000000
mar,213,3,760.000000
mar,213,0,50.000000
mar,213,1,316.000000
mar,213,0,84.000000
mar,213,2,286.000000
mar,213,0,320.000000
mar,213,1,268.000000
mar,214,3,508.000000
mar,214,0,52.000000
mar,214,1,328.000000
mar,214,0,638.000000
mar,215,3,682.000000
mar,215,0,1840.000000
mar,215,1,314.000000
mar,216,3,992.000000
mar,216,0,188.000000
mar,216,1,222.000000
mar,216,0,658.000000
mar,217,3,870.000000
mar,217,0,332.000000
mar,217,2,176.000000
mar,217,0,380.000000
